2014-05-19 11:52:23 upgrade perl-base:amd64 5.14.2-21+deb7u1 5.14.2-21+deb7u1
2014-05-19 11:52:23 status half-configured perl-base:amd64 5.14.2-21+deb7u1
2014-05-19 11:52:23 status unpacked perl-base:amd64 5.14.2-21+deb7u1
2014-05-19 11:52:23 status half-installed perl-base:amd64 5.14.2-21+deb7u1
2014-05-19 11:52:23 status half-installed perl-base:amd64 5.14.2-21+deb7u1
2014-05-19 11:52:23 status unpacked perl-base:amd64 5.14.2-21+deb7u1
2014-05-19 11:52:23 status unpacked perl-base:amd64 5.14.2-21+deb7u1
2014-05-19 11:52:23 install passwd:amd64 <none> 1:4.1.5.1-1
2014-05-19 11:52:23 status half-installed passwd:amd64 1:4.1.5.1-1
2014-05-19 11:52:23 status unpacked passwd:amd64 1:4.1.5.1-1
2014-05-19 11:52:23 status unpacked passwd:amd64 1:4.1.5.1-1
2014-05-19 11:52:23 install lsb-base:all <none> 4.1+Debian8+deb7u1
2014-05-19 11:52:23 status half-installed lsb-base:all 4.1+Debian8+deb7u1
2014-05-19 11:52:23 status unpacked lsb-base:all 4.1+Debian8+deb7u1
2014-05-19 11:52:23 status unpacked lsb-base:all 4.1+Debian8+deb7u1
2014-05-19 11:52:23 install tzdata:all <none> 2014a-0wheezy1
2014-05-19 11:52:23 status half-installed tzdata:all 2014a-0wheezy1
2014-05-19 11:52:23 status unpacked tzdata:all 2014a-0wheezy1
2014-05-19 11:52:24 status unpacked tzdata:all 2014a-0wheezy1
2014-05-19 11:52:24 install mount:amd64 <none> 2.20.1-5.3
2014-05-19 11:52:24 status half-installed mount:amd64 2.20.1-5.3
2014-05-19 11:52:24 status unpacked mount:amd64 2.20.1-5.3
2014-05-19 11:52:24 status unpacked mount:amd64 2.20.1-5.3
2014-05-19 11:52:24 install sysvinit-utils:amd64 <none> 2.88dsf-41+deb7u1
2014-05-19 11:52:24 status half-installed sysvinit-utils:amd64 2.88dsf-41+deb7u1
2014-05-19 11:52:24 status unpacked sysvinit-utils:amd64 2.88dsf-41+deb7u1
2014-05-19 11:52:24 status unpacked sysvinit-utils:amd64 2.88dsf-41+deb7u1
2014-05-19 11:52:24 install sysv-rc:all <none> 2.88dsf-41+deb7u1
2014-05-19 11:52:24 status half-installed sysv-rc:all 2.88dsf-41+deb7u1
2014-05-19 11:52:24 status unpacked sysv-rc:all 2.88dsf-41+deb7u1
2014-05-19 11:52:24 status unpacked sysv-rc:all 2.88dsf-41+deb7u1
2014-05-19 11:52:24 install util-linux:amd64 <none> 2.20.1-5.3
2014-05-19 11:52:24 status half-installed util-linux:amd64 2.20.1-5.3
2014-05-19 11:52:24 status unpacked util-linux:amd64 2.20.1-5.3
2014-05-19 11:52:24 status unpacked util-linux:amd64 2.20.1-5.3
2014-05-19 11:52:24 install ncurses-base:all <none> 5.9-10
2014-05-19 11:52:24 status half-installed ncurses-base:all 5.9-10
2014-05-19 11:52:24 status unpacked ncurses-base:all 5.9-10
2014-05-19 11:52:24 status unpacked ncurses-base:all 5.9-10
2014-05-19 11:52:24 install ncurses-bin:amd64 <none> 5.9-10
2014-05-19 11:52:24 status half-installed ncurses-bin:amd64 5.9-10
2014-05-19 11:52:24 status unpacked ncurses-bin:amd64 5.9-10
2014-05-19 11:52:24 status unpacked ncurses-bin:amd64 5.9-10
2014-05-19 11:52:24 install sed:amd64 <none> 4.2.1-10
2014-05-19 11:52:24 status half-installed sed:amd64 4.2.1-10
2014-05-19 11:52:24 status unpacked sed:amd64 4.2.1-10
2014-05-19 11:52:24 status unpacked sed:amd64 4.2.1-10
2014-05-19 11:52:24 install sysvinit:amd64 <none> 2.88dsf-41+deb7u1
2014-05-19 11:52:24 status half-installed sysvinit:amd64 2.88dsf-41+deb7u1
2014-05-19 11:52:24 status unpacked sysvinit:amd64 2.88dsf-41+deb7u1
2014-05-19 11:52:24 status unpacked sysvinit:amd64 2.88dsf-41+deb7u1
2014-05-19 11:52:24 install xz-utils:amd64 <none> 5.1.1alpha+20120614-2
2014-05-19 11:52:24 status half-installed xz-utils:amd64 5.1.1alpha+20120614-2
2014-05-19 11:52:24 status unpacked xz-utils:amd64 5.1.1alpha+20120614-2
2014-05-19 11:52:24 status unpacked xz-utils:amd64 5.1.1alpha+20120614-2
2014-05-19 11:52:24 startup packages configure
2014-05-19 11:52:24 configure lsb-base:all 4.1+Debian8+deb7u1 <none>
2014-05-19 11:52:24 status unpacked lsb-base:all 4.1+Debian8+deb7u1
2014-05-19 11:52:24 status half-configured lsb-base:all 4.1+Debian8+deb7u1
2014-05-19 11:52:24 status installed lsb-base:all 4.1+Debian8+deb7u1
2014-05-19 11:52:24 configure ncurses-base:all 5.9-10 <none>
2014-05-19 11:52:24 status unpacked ncurses-base:all 5.9-10
2014-05-19 11:52:24 status unpacked ncurses-base:all 5.9-10
2014-05-19 11:52:24 status half-configured ncurses-base:all 5.9-10
2014-05-19 11:52:24 status installed ncurses-base:all 5.9-10
2014-05-19 11:52:24 configure sensible-utils:all 0.0.7 <none>
2014-05-19 11:52:24 status unpacked sensible-utils:all 0.0.7
